j,x,y
1,-1.047285906801392,0.6015371714721669
2,-0.30409923616237317,-1.6119931057729415
3,1.4873818203659452,0.0010688895362408544
4,-0.41173007884917734,1.206705977900464
5,0.7622469687998368,1.0053931824586713
6,1.3095221016344487,0.8582954365355876
7,0.193131716469924,0.45617753520617665
8,-0.9880123327053032,1.4428550438617693
9,-0.7704087437931866,0.5840033212206401
10,-0.7905998980227756,-0.196738026762702
11,-1.1373369658857684,0.6327730069279769
12,-0.5419087445120016,-1.2570308300484996
13,0.29576943059852506,1.0051203044130057
14,0.8028412830592007,-0.7719904306834685
15,1.616676722515581,0.28097880663657665
16,-0.16614119460377513,-0.3043238143582237
17,-1.4052158916918676,0.8038067526692082
18,-1.3471467848600458,-0.5205863279480114
19,0.8794564405926679,1.0683580855704977
20,0.5438191020666115,1.6081725002273624
21,0.5201035694840217,-1.5755950755627333
22,0.4990689127999634,-0.10086412760638912
23,-0.6942524837590438,1.648926096382341
24,-0.14033716545661262,-0.37014336723192565
25,0.2344536819141944,-0.23039622879894725
26,1.1437863493347875,-0.8917479037233352
27,1.4754208362173,0.8731147430611681
28,1.379474566758321,0.34546931010076454
29,0.5231473936722288,0.9492044614662618
30,0.6221438095504676,-0.5980480731406029
31,1.3270949046939302,0.9432866950087908
32,-1.707610024409223,0.9233496346989228
33,0.7692068082508636,-0.20840899855141248
34,-1.0277313429489618,-0.21731710687641403
35,-0.7110782891696442,-1.859768786027627
36,-0.7306920887389334,1.6736323741056611
37,-0.6729292055663851,-1.596180305089328
38,0.2079955656378298,-0.35359674095350496
39,0.3265695415451188,0.03769170029813621
40,0.001265841458620629,-1.3960083630984585
41,0.35798680734207006,-0.025095713111601758
42,-0.007344612254702057,-0.6372188385078724
43,-0.28538249359980183,1.4736800839087312
44,0.31957901082010576,-1.2684963136749892
45,1.4174453134644696,1.0743937500822798
46,-0.9912736581792687,0.33665280778206663
47,0.8764522268603648,-0.5671243058337551
48,-0.34479067195487667,1.2265420286118973
49,-0.3858467924674837,1.5950064389313057
50,1.3561103072680696,1.4446304301546187
51,1.251601133188351,0.15305878812157078
52,-0.7462042183252044,-1.5561093591712412
53,0.4420058971037311,1.797645857300224
